白,bái,white,HSK 2
长,cháng,long,HSK 2
对,duì,correct,HSK 2
高,gāo,"tall, high",HSK 2
贵,guì,expensive; noble,HSK 2
好吃,hǎochī,"tasty, delicious",HSK 2
黑,hēi,"black; dark; shady, illegal",HSK 2
红,hóng,red; popular; revolutionary,HSK 2
近,jìn,"nearby, close",HSK 2
快,kuài,quick,HSK 2
快乐,kuàilè,happy,HSK 2
累,lèi,tired,HSK 2
慢,màn,slow,HSK 2
忙,máng,busy,HSK 2
便宜,piányi,"cheap, inexpensive",HSK 2
新,xīn,new,HSK 2
远,yuǎn,far,HSK 2
别,bié,do not (do something),HSK 2
非常,fēicháng,"very, extremely",HSK 2
还,hái,still; in addition; even,HSK 2
就,jiù,just (emphasis); only,HSK 2
也,yě,also,HSK 2
已经,yǐjīng,already,HSK 2
一起,yīqǐ,together,HSK 2
再,zài,again; another; then,HSK 2
真,zhēn,"really, truly; real",HSK 2
正在,zhèngzài,in the process of (doing something),HSK 2
最,zuì,"most, -est",HSK 2
可能,kěnéng,"maybe, might; possible",HSK 2
可以,kěyǐ,"may, can",HSK 2
要,yào,to want; to need; have to; want to; will,HSK 2
但是,dànshì,but,HSK 2
虽然,suīrán,although,HSK 2
所以,suǒyǐ,"so, therefore",HSK 2
因为,yīnwèi,because,HSK 2
每,měi,every,HSK 2
为什么,wèishénme,why,HSK 2
次,cì,[measure word for how many times something happens],HSK 2
件,jiàn,[measure word],HSK 2
一下,yīxià,"[after a verb] quickly, briefly, casually",HSK 2
报纸,bàozhǐ,newspaper,HSK 2
宾馆,bīnguǎn,hotel,HSK 2
错,cuò,"mistake, fault; mistakenly",HSK 2
弟弟,dìdi,younger brother,HSK 2
房间,fángjiān,room,HSK 2
服务员,fúwùyuán,"(food) server, waiter, waitress",HSK 2
哥哥,gēge,older brother,HSK 2
公共汽车,gōnggòng qìchē,public (city) bus,HSK 2
公司,gōngsī,"company, corporation; office",HSK 2
孩子,háizi,child,HSK 2
火车站,huǒchēzhàn,train station,HSK 2
教室,jiàoshì,classroom,HSK 2
机场,jīchǎng,airport,HSK 2
鸡蛋,jīdàn,(chicken) egg,HSK 2
姐姐,jiějie,older sister,HSK 2
咖啡,kāfēi,coffee,HSK 2
考试,kǎoshì,"test, exam",HSK 2
课,kè,"lesson, class",HSK 2
路,lù,"road, path, way",HSK 2
旅游,lǚyóu,travel,HSK 2
妹妹,mèimei,younger sister; young woman,HSK 2
门,mén,"door, gate",HSK 2
面条,miàntiáo,noodles,HSK 2
男,nán,male,HSK 2
牛奶,niúnǎi,(cow) milk,HSK 2
女,nǚ,female,HSK 2
旁边,pángbiān,"the side, next to",HSK 2
票,piào,ticket,HSK 2
铅笔,qiānbǐ,pencil,HSK 2
晴,qíng,"clear, fine (weather)",HSK 2
妻子,qīzi,wife,HSK 2
去年,qùnián,last year,HSK 2
日,rì,day; Japan,HSK 2
生日,shēngrì,birthday,HSK 2
身体,shēntǐ,body; health,HSK 2
时间,shíjiān,time,HSK 2
事情,shìqing,"affair, business, matter, thing",HSK 2
手表,shǒubiǎo,wristwatch,HSK 2
手机,shǒujī,"cell phone, mobile phone",HSK 2
题,tí,(math) problem,HSK 2
外,wài,outside,HSK 2
问题,wèntí,"question; problem, issue",HSK 2
洗,xǐ,"to wash, to bathe",HSK 2
小时,xiǎoshí,hour,HSK 2
西瓜,xīguā,watermelon,HSK 2
姓,xìng,surname,HSK 2
希望,xīwàng,"to hope, to wish",HSK 2
雪,xuě,snow,HSK 2
羊肉,yángròu,"mutton, lamb (meat)",HSK 2
眼睛,yǎnjing,eye,HSK 2
颜色,yánsè,color,HSK 2
药,yào,"medicine, drug",HSK 2
阴,yīn,overcast (in 阴天),HSK 2
意思,yìsi,meaning,HSK 2
游泳,yóuyǒng,swimming,HSK 2
右边,yòubian,right side; to the right,HSK 2
鱼,yú,fish,HSK 2
运动,yùndòng,"sports, exercise",HSK 2
早上,zǎoshang,morning,HSK 2
丈夫,zhàngfu,husband,HSK 2
准备,zhǔnbèi,preparation(s),HSK 2
左边,zuǒbian,the left side; to the left of,HSK 2
百,bǎi,hundred,HSK 2
第一,dì-yī,"number one, the first",HSK 2
两,liǎng,two (of something),HSK 2
千,qiān,thousand,HSK 2
吧,ba,[modal particle for suggestions],HSK 2
得,de,[structural particle used after a verb],HSK 2
过,guo,[aspectual particle to indicate experience],HSK 2
着,zhe,[aspectual particle indicating a continuous state],HSK 2
大家,dàjiā,everyone,HSK 2
您,nín,you (polite form),HSK 2
它,tā,it,HSK 2
打篮球,dǎ lánqiú,to play basketball,HSK 2
踢足球,tī zúqiú,to play soccer,HSK 2
比,bǐ,"to compare, to compete; [particle for comparisons]",HSK 2
从,cóng,from; via,HSK 2
对,duì,toward,HSK 2
给,gěi,"to, for",HSK 2
往,wǎng,towards,HSK 2
